      3,134,737 100% - ...
      3,134,737 100%  - #<primitive-function call-interactively>
      3,134,737 100%   - funcall-interactively
      3,134,737 100%    - smex
      3,134,737 100%     - smex-read-and-run
      3,134,737 100%      - execute-extended-command
      3,134,737 100%       - command-execute
      3,134,737 100%        - call-interactively
      3,134,737 100%         - apply
      3,134,737 100%          - call-interactively@ido-cr+-record-current-command
      3,134,737 100%           - #<primitive-function call-interactively>
      3,134,737 100%            - funcall-interactively
         51,960   1%                           - seed7-assign-op-pos
         51,960   1%                            - seed7-re-search-backward
         30,456   0%                             - run-with-timer
         30,456   0%                              - run-at-time
         17,064   0%                               - timer-activate
         17,064   0%                                - timer--activate
         17,064   0%                                   timer--time-less-p
          8,208   0%                                 timer-relative-time
          5,184   0%                               - timer-set-time
          5,184   0%                                  timer--time-setter
         21,504   0%                               re-search-backward
         51,224   1%                          - seed7-line-inside-logic-check-expression
         51,224   1%                           - seed7-to-previous-line-starts-with
         43,040   1%                            - seed7-re-search-backward
         22,560   0%                             - run-with-timer
         22,560   0%                              - run-at-time
         12,640   0%                               - timer-activate
         12,640   0%                                - timer--activate
         12,640   0%                                   timer--time-less-p
          6,080   0%                                 timer-relative-time
          3,840   0%                               - timer-set-time
          3,840   0%                                  timer--time-setter
         20,480   0%                               re-search-backward
         43,040   1%                          - seed7-line-inside-until-logic-expression
         43,040   1%                           - seed7-re-search-backward
         22,560   0%                            - run-with-timer
         22,560   0%                             - run-at-time
         12,640   0%                              - timer-activate
         12,640   0%                               - timer--activate
         12,640   0%                                  timer--time-less-p
          6,080   0%                                timer-relative-time
          3,840   0%                              - timer-set-time
          3,840   0%                                 timer--time-setter
         20,480   0%                              re-search-backward
         43,040   1%                          - seed7-line-inside-func-return-statement
         43,040   1%                           - seed7-re-search-backward
         22,560   0%                            - run-with-timer
         22,560   0%                             - run-at-time
         12,640   0%                              - timer-activate
         12,640   0%                               - timer--activate
         12,640   0%                                  timer--time-less-p
          6,080   0%                                timer-relative-time
          3,840   0%                              - timer-set-time
          3,840   0%                                 timer--time-setter
         20,480   0%                              re-search-backward
         33,776   1%                            seed7--indent-search-boundary
         23,552   0%                            seed7-line-starts-with
         23,552   0%                          - seed7-line-after-func-return-logic-operator-column
          2,048   0%                           - seed7-move-to-line
          2,048   0%                              seed7-to-previous-non-empty-line
         21,504   0%                          - seed7-line-isa-string
         21,504   0%                             seed7-line-starts-with
         12,760   0%                            seed7-line-after-short-func-end
          3,280   0%                          - seed7-line-at-endof-array-definition-block
          3,280   0%                           - seed7-line-code-ends-with
          3,280   0%                            - seed7-re-search-backward
          2,256   0%                             - run-with-timer
          2,256   0%                              - run-at-time
          1,264   0%                               - timer-activate
          1,264   0%                                - timer--activate
          1,264   0%                                   timer--time-less-p
            608   0%                                 timer-relative-time
            384   0%                               - timer-set-time
            384   0%                                  timer--time-setter
          1,024   0%                               re-search-backward
          2,256   0%                          - seed7-line-at-endof-set-definition-block
          2,256   0%                           - seed7-line-code-ends-with
          2,256   0%                            - seed7-re-search-backward
          2,256   0%                             - run-with-timer
          2,256   0%                              - run-at-time
          1,264   0%                               - timer-activate
          1,264   0%                                - timer--activate
          1,264   0%                                   timer--time-less-p
            608   0%                                 timer-relative-time
            384   0%                               - timer-set-time
            384   0%                                  timer--time-setter
          1,024   0%                          - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                             seed7-line-starts-with
          1,024   0%                            seed7-line-indent-step
        137,270   4%             - smex
        137,270   4%              - smex-read-and-run
        137,270   4%               - execute-extended-command
        137,270   4%                - command-execute
        137,270   4%                 - call-interactively
        137,270   4%                  - apply
        137,270   4%                   - call-interactively@ido-cr+-record-current-command
        137,270   4%                    - #<primitive-function call-interactively>
        137,270   4%                     - funcall-interactively
        137,270   4%                      - pel-profile-all
        137,270   4%                       - pel-profile-dir
        137,270   4%                        - pel-profile-indent
        137,270   4%                         - pel-profile-indentation-test-of
        137,270   4%                            profiler-start
